iter	RMSE
0	5.992692746
1	4.205593125
2	3.107111266
3	2.438243722
4	2.052264346
5	1.775019046
6	1.507781836
7	1.333966673
8	1.191486739
9	1.123494494
10	1.029810675
11	0.8866912299
12	0.8536618035
13	0.8011373885
14	0.7392738557
15	0.696000366
16	0.6551306288
17	0.6091684527
18	0.5813561015
19	0.5558361489
20	0.5254721427
21	0.5059208062
22	0.488115789
23	0.4703885264
24	0.4372589509
25	0.4078492157
26	0.3853220876
27	0.3659598712
28	0.3525842953
29	0.3405482102
30	0.3208513254
31	0.308594607
32	0.2996246343
33	0.2886391029
34	0.2794135557
35	0.2657972627
36	0.2608896866
37	0.2527378692
38	0.2438867601
39	0.2365877125
40	0.2313256788
41	0.2248037959
42	0.217093688
43	0.2095517077
44	0.2039471874
45	0.1998102166
46	0.1929685018
47	0.1891952757
48	0.1853511434
49	0.1841802643
50	0.1762627744
51	0.1676850834
52	0.1636739066
53	0.1628482706
54	0.1589099884
55	0.1547189656
56	0.1490059591
57	0.1462662417
58	0.1423934312
59	0.1397373681
60	0.137982084
61	0.135309547
62	0.1334778395
63	0.1318647435
64	0.1273675541
65	0.1258018112
66	0.1215280372
67	0.1194373753
68	0.1157358011
69	0.1137150013
70	0.1117036858
71	0.1091590076
72	0.1073247411
73	0.1049727119
74	0.10385486
75	0.101305579
76	0.100075542
77	0.09890613852
78	0.09673042991
79	0.09511728624
80	0.09410064338
81	0.09255946635
82	0.09148184596
83	0.09052648412
84	0.08884680576
85	0.08802094611
86	0.08672543578
87	0.0857160163
88	0.08258648889
89	0.07976260622
90	0.07892062321
91	0.07786805585
92	0.07648227796
93	0.07604570314
94	0.07512827852
95	0.07377949802
96	0.07233571926
97	0.07093903953
98	0.06984111592
99	0.06854607885
100	0.06772341981
101	0.06641499927
102	0.06557243449
103	0.06408331677
104	0.06324620797
105	0.06288191286
106	0.06137388909
107	0.06071558227
108	0.06022355119
109	0.05927010456
110	0.05880476665
111	0.05751298198
112	0.05699425298
113	0.05661736002
114	0.05622266295
115	0.05555770578
116	0.05477726862
117	0.05465448133
118	0.05291183114
119	0.0525655236
120	0.05191239683
121	0.05053060156
122	0.04950332775
123	0.04874776818
124	0.04811267534
125	0.047673932
126	0.04710797869
127	0.04650678044
128	0.04621000662
129	0.04556943183
130	0.04509644821
131	0.04458838922
132	0.04388886496
133	0.04294549981
134	0.04201367351
135	0.04156994666
136	0.04091741018
