Температура окружающей среды,Влажность окружающей среды,Температура раствора,Значение АЦП внешнего фотодиода,Значение АЦП внутреннего фотодиода,Интегральная сумма внешнего фотодиода,Интегральная сумма внутреннего фотодиода,Температура лазера,Температура фотодиода,Фурье образ внутреннего фотодиода,Фурье образ внешнего фотодиода,Время с начала эксперимента,Концентрация глюкозы
27.500000000000004,23.0,27.60000000000001,37063.62018689518,59575.2644866043,188559072.0000001,296705033.6666667,24.97922381839467,27.737556397515004,13473116.460052775,428678330.0305935,19.86696903547744,28.430000000000007
27.5,23.000000000000004,27.600000000000005,37065.06126964874,59566.81146905408,188559071.99983448,296705033.6667404,24.997120544007178,27.65734043389029,910850648.02527,7008573752.3931055,20.06663559136945,28.430000000000003
27.500000000000004,23.000000000000004,27.60000000000001,38378.18538772023,59074.96774596015,187664648.6666667,297103413.0000001,24.00652653798301,27.74136202828861,17441135.744216472,1019284402.0535226,20.366282151223672,28.430000000000007
27.500000000000004,23.000000000000004,27.60000000000001,38251.22578886968,59104.25900095522,187664648.66666663,297103413.00000006,24.100914471301294,27.76716870202532,43095725.35013776,436046153.448295,20.56594870709719,28.430000000000003
27.5,23.0,27.6,38183.61551414255,59123.36627457535,187664648.66666663,297103413.00000006,24.17957999375736,27.790069292914044,-91998.3559745662,194716521.49373105,20.765615262970705,28.43
27.500000000000004,23.0,27.600000000000005,38137.07936675992,59147.94536600113,187664648.66666663,297103413.00000006,24.24475669009988,27.810268293863565,5741941.34117625,159336951.3256076,20.96528181884422,28.430000000000003
27.500000000000004,23.0,27.600000000000005,38096.67828246008,59164.73762693311,187664648.66666663,297103413.00000006,24.29847946888654,27.827955986929435,10159732.12052017,214460266.4207656,21.164948374717746,28.43
27.5,23.000000000000004,27.60000000000001,38057.79326816531,59211.30455618709,187664648.66666663,297103413.00000006,24.342592843754293,27.843309234193597,8514324.49593184,61274646.35793368,21.36461493059126,28.430000000000007
27.500000000000004,23.0,27.600000000000005,38036.12696115658,59221.96475849933,187664648.66666663,297103413.0,24.37875921468975,27.856492268644008,2468223.317427413,50701326.0987171,21.56428148646477,28.430000000000003
27.500000000000004,23.000000000000004,27.60000000000001,37972.45761491789,59254.11006711837,187664648.66666663,297103413.0000001,24.408467149299558,27.86765748505436,3442973.6410741224,27771742.04510671,21.76394804233829,28.43000000000001
27.5,23.000000000000004,27.600000000000005,37985.83902658751,59284.02776193739,187664648.66666663,297103413.00000006,24.433039664080656,27.876946230863663,203229.33108138008,7116946.24287455,21.96361459821181,28.430000000000003
27.5,23.0,27.6,37950.44790071342,59314.66525274708,187664648.66666663,297103413.0,24.45364250569071,27.884489597055957,6968.241717277167,170233.2471426423,22.16328115408532,28.430000000000003
27.5,23.000000000000004,27.600000000000005,37939.49848841031,59326.95453243129,187664648.66666663,297103413.0000001,24.47129243221838,27.89040920903989,105067.44860828032,1887524.0525223217,22.36294770995884,28.430000000000003
27.500000000000004,23.000000000000004,27.600000000000005,37905.17336373705,59359.42653794357,187664648.66666663,297103413.0000001,24.486865494453745,27.894818017528472,766144.9668776059,10265193.80367429,22.56261426583236,28.430000000000007
27.500000000000004,23.0,27.600000000000005,37867.42267806804,59390.93210304384,187664648.66666663,297103413.00000006,24.501105317158544,27.897821089418624,1263566.1840142545,14873607.144854438,22.76228082170588,28.430000000000003
27.500000000000004,23.0,27.6,37850.0671157947,59404.56140398994,187664648.66666663,297103413.00000006,24.51463138033661,27.89951639867089,1640550.432440458,20465624.011583112,22.96194737757939,28.430000000000003
27.500000000000007,23.000000000000004,27.600000000000005,37812.28501609831,59418.928428276704,187664648.6666667,297103413.0000001,24.527947300504177,27.899995617189106,270200.50912360643,21579046.14751918,23.16161393345292,28.430000000000007
27.500000000000004,23.0,27.600000000000005,37798.07795442267,59460.5710792148,187664648.66666663,297103413.00000006,24.54144911196021,27.89934490569998,3132225.382799889,30786579.03969365,23.36128048932643,28.43
27.500000000000007,23.000000000000004,27.60000000000001,37802.86024537486,59448.68001666201,187664648.66666663,297103413.0000001,24.55543354805682,27.897645704632826,1211159.5854315606,14664409.647400577,23.560947045199956,28.43000000000001
27.5,23.000000000000004,27.6,37775.396242624265,59475.79103164757,187664648.66666663,297103413.00000006,24.570106322469474,27.89497552499916,310612.0182041703,7976129.35146881,23.760613601073462,28.430000000000003
27.5,23.000000000000004,27.600000000000005,37751.97444181802,59500.29061198953,187664648.66666663,297103413.00000006,24.58559041046749,27.89140873927238,69072.29557119287,2101021.573106513,23.96028015694698,28.430000000000003
27.500000000000004,23.000000000000004,27.60000000000001,37696.796643237554,59395.8008082766,187664648.66666663,297103413.0000001,24.60193433018425,27.887017372267408,10234.75627705511,58348.781335859625,24.159946712820503,28.430000000000007
27.5,23.0,27.6,37686.13312719868,59319.53925419327,187664648.6666666,297103413.00000006,24.61912042388764,27.88187189202033,57539.42953933043,558998.1694820513,24.35961326869401,28.430000000000003
27.5,23.0,27.6,37566.20213766281,59410.02200243635,187664648.6666666,297103413.00000006,24.63707313925036,27.876042000668114,503249.99439506646,2973477.2673823684,24.559279824567533,28.43
27.5,23.0,27.60000000000001,37546.72707679235,59369.18143029454,187664648.66666663,297103413.00000006,24.655667310620235,27.86959742532816,1019557.1103108068,3628361.8890837226,24.75894638044105,28.43
27.5,23.000000000000004,27.600000000000005,37514.84677168302,59357.45219042527,187664648.66666663,297103413.00000006,24.674736440290623,27.862608708978023,456704.74928264174,10266136.006526858,24.95861293631457,28.430000000000003
27.5,23.0,27.60000000000001,37542.60283607693,59358.03716953007,187664648.66666663,297103413.00000006,24.694080979770703,27.855148001335067,1599852.1588448242,16314430.659025753,25.15827949218809,28.430000000000003
27.5,23.000000000000004,27.6,37489.32661341579,59415.45965264748,187664648.66666663,297103413.00000006,24.71347661105584,27.847289849736068,1356253.4408720268,11164834.084176416,25.357946048061603,28.430000000000003
27.500000000000004,23.000000000000004,27.6,37448.31286775385,59395.65846997993,187664648.66666663,297103413.00000006,24.732682527897936,27.83911199001692,715708.2236730425,9866483.887780616,25.55761260393512,28.430000000000003
27.500000000000007,23.000000000000004,27.600000000000005,37456.794461149446,59429.31528739268,187664648.66666663,297103413.00000006,24.751449717075754,27.830696137392252,924582.8943267296,7261997.373577256,25.75727915980864,28.430000000000003
27.50000000000001,23.000000000000004,27.60000000000001,37414.63158764336,59446.60190939677,187664648.6666667,297103413.00000006,24.76952923966532,27.82212877733513,282040.49445640435,2166935.3717522603,25.95694571568216,28.43000000000001
27.5,23.000000000000004,27.600000000000005,37372.15292516029,59439.80109257753,187664648.6666667,297103413.00000006,24.78668051231013,27.8135019564566,3423.8036447574527,65223.69908000293,26.156612271555677,28.430000000000003
27.500000000000004,23.000000000000004,27.600000000000005,37365.98716494501,59478.66774491645,187664648.66666663,297103413.00000006,24.80267958849169,27.804914073385483,69154.79204022848,794176.6437505519,26.35627882742919,28.430000000000003
27.5,23.0,27.6,37357.86658047958,59504.01364517996,187664648.66666663,297103413.0,24.817327439799676,27.796470669647928,752843.8377085222,4620550.04778553,26.555945383302703,28.43
27.500000000000004,23.0,27.600000000000005,37322.11327609265,59515.51107673092,187664648.66666663,297103413.0000001,24.8304582372024,27.78828522054713,884706.1328627471,7497283.509355334,26.75561193917623,28.430000000000003
27.500000000000007,23.000000000000004,27.60000000000001,37303.87935305378,59519.32854947436,187664648.66666663,297103413.0000001,24.841947632317087,27.7804799260429,1298318.0602404694,19781400.592895195,26.95527849504975,28.43000000000001
27.5,23.000000000000004,27.60000000000001,37271.80436505743,59541.65477994594,187664648.66666663,297103413.00000006,24.851721038680257,27.77318650163137,4823781.852460642,26273886.77745653,27.15494505092326,28.430000000000003
27.5,23.000000000000004,27.6,37212.74350987226,59548.26046533614,187664648.66666663,297103413.00000006,24.859761913018044,27.766546969224688,3295692.796765498,15574119.373028444,27.35461160679678,28.430000000000003
27.5,23.000000000000004,27.600000000000005,37213.99844989878,59537.32976130488,187664648.66666663,297103413.00000006,24.866120036516577,27.7607144480306,2136595.8727925173,17438043.073423818,27.554278162670297,28.430000000000007
27.5,23.000000000000004,27.6,37147.927183994405,59571.386835816826,187664648.66666663,297103413.00000006,24.870919796092227,27.755853945432097,597706.8380721696,12081022.45327227,27.753944718543817,28.430000000000003
27.5,23.0,27.600000000000005,37174.300989961135,59582.54601435119,187664648.66666663,297103413.00000006,24.874368465662112,27.75214314786715,208540.28393555872,5442776.501607883,27.95361127441733,28.430000000000003
