Температура окружающей среды,Влажность окружающей среды,Температура раствора,Значение АЦП внешнего фотодиода,Значение АЦП внутреннего фотодиода,Интегральная сумма внешнего фотодиода,Интегральная сумма внутреннего фотодиода,Температура лазера,Температура фотодиода,Фурье образ внутреннего фотодиода,Фурье образ внешнего фотодиода,Время с начала эксперимента,Концентрация глюкозы
21.6,12.0,20.7,19901.0,65535.0,194873324.0,288373535.6666666,22.384337396061365,23.72265145339616,8.32007542039336e+16,3.797682764657937e+16,0.0,34.5
21.600000000000005,12.0,20.7,39590.41096409132,57458.35317981857,194873324.00000003,288373535.6666666,22.50183641228147,23.808643755225503,189816121.0059853,1771404964.5726235,0.1996665558735174,34.50000000000001
21.6,12.0,20.7,39535.20331430718,57446.5248810322,194873324.0,288373535.6666666,22.605628001670052,23.872412871738906,153669676.28139135,1630754001.1040947,0.3993331117470349,34.5
21.6,12.000000000000004,20.7,39485.41706877104,57430.68186867192,194873324.00000003,288373535.6666666,22.696885353827515,23.917405997237328,133350677.27783234,1372635454.9785233,0.5989996676205525,34.500000000000014
21.60000000000001,12.000000000000004,20.700000000000003,39465.523050845295,57442.583668129126,194873324.00000003,288373535.6666667,22.776727941560768,23.94675228919732,90869641.15382572,1159821517.455732,0.7986662234940701,34.50000000000001
21.600000000000005,12.000000000000004,20.7,39418.36144909271,57468.52902639058,194873324.00000003,288373535.6666667,22.846222135044528,23.96327649573592,88356556.33240294,894583633.8082639,0.9983327793675876,34.5
21.600000000000005,12.000000000000002,20.700000000000003,39406.92443451551,57461.40835282338,194873324.0,288373535.6666666,22.906381815982467,23.96951258307537,84648955.12753794,658895466.7000576,1.197999335241105,34.5
21.600000000000005,12.000000000000004,20.700000000000003,39368.4516061841,57503.9895526835,194873324.00000003,288373535.6666667,22.9581689917684,23.967717363007925,55566442.53627348,458200744.0320869,1.3976658911146227,34.50000000000001
21.600000000000005,12.000000000000004,20.700000000000003,39354.16964223966,57505.00425645287,194873324.0,288373535.6666666,23.002494409647483,23.95988412036058,42581643.19142719,313629134.1061767,1.59733244698814,34.50000000000001
21.6,12.000000000000002,20.700000000000003,39298.85485566207,57508.8079497875,194873324.00000003,288373535.6666667,23.040218170877456,23.94775624045995,39091083.5757847,249651798.93031877,1.7969990028616574,34.50000000000001
21.6,12.0,20.7,39295.96384755059,57512.51093350793,194873324.00000003,288373535.6666666,23.072150344889785,23.932840836596963,35635380.14871716,233788210.38028312,1.9966655587351747,34.50000000000001
21.60000000000001,12.000000000000004,20.700000000000003,39259.69742486349,57546.910007406535,194873324.00000003,288373535.6666666,23.099051583450883,23.916422377491728,40112794.43541022,246262899.63802415,2.196332114608693,34.50000000000001
21.600000000000005,12.000000000000002,20.7,39246.42401355694,57543.75301559751,194873324.00000003,288373535.6666666,23.12163373482333,23.899576314758235,48611363.8851398,276926574.86011153,2.3959986704822103,34.500000000000014
21.600000000000005,12.0,20.7,39217.99640978762,57578.66157438263,194873324.00000003,288373535.6666667,23.140560457927023,23.88318271036922,55086822.65878807,325428735.7564405,2.595665226355728,34.50000000000001
21.6,12.0,20.7,39184.54992135216,57578.31803828271,194873324.00000003,288373535.6666666,23.15644783650042,23.86793986412091,61054958.1705475,315706166.3908322,2.795331782229245,34.50000000000001
