Температура окружающей среды,Влажность окружающей среды,Температура раствора,Значение АЦП внешнего фотодиода,Значение АЦП внутреннего фотодиода,Интегральная сумма внешнего фотодиода,Интегральная сумма внутреннего фотодиода,Температура лазера,Температура фотодиода,Фурье образ внутреннего фотодиода,Фурье образ внешнего фотодиода,Время с начала эксперимента,Концентрация глюкозы
21.300000000000004,19.000000000000007,21.6,57603.62947214796,39494.52505344403,286977333.66666675,199634650.66666663,23.76682429438897,23.72647501229532,484314323.7169381,8496574.095692847,343.1318182287004,10.3
21.300000000000008,19.000000000000004,21.70000000000296,57363.42161614452,40622.80817102092,286953123.9999994,199710245.6666689,23.058735776471877,23.83316878718004,2854087134.8716807,401001233.5505727,343.4314647885761,10.3
21.300000000000004,19.000000000000007,21.700000000000003,57134.86877216281,40468.91402779054,286953124.00000006,199710245.6666667,23.081958489519906,23.84924922573874,413573600.47245526,14811717.280157411,343.6311313444466,10.3
21.300000000000004,19.000000000000004,21.700000000000003,57096.512169437454,40404.45430101948,286953124.00000006,199710245.66666663,23.10483889994243,23.861267144860523,281681112.52589554,15805575.630221538,343.8307979003202,10.3
21.300000000000004,19.0,21.7,57109.7451122696,40369.84922435547,286953124.00000006,199710245.6666667,23.127377007761247,23.87001430363457,296803513.892407,15052748.591381392,344.0304644561936,10.3
21.300000000000004,19.000000000000004,21.700000000000003,57120.15456237368,40352.443774024985,286953124.0,199710245.66666663,23.14957281297633,23.87619807420286,170172523.05162886,8152764.056366422,344.2301310120671,10.3
21.3,19.000000000000004,21.7,57135.18773708179,40326.9682234874,286953124.00000006,199710245.66666663,23.171426315587706,23.88044528790135,182697945.7090684,3828273.15662296,344.4297975679407,10.3
21.300000000000004,19.000000000000004,21.700000000000003,57136.705032737744,40293.991371106815,286953124.00000006,199710245.66666663,23.19293751559536,23.88330608140427,99594710.6895778,3645938.294195629,344.6294641238141,10.3
21.300000000000008,19.000000000000004,21.700000000000003,57172.53394495071,40276.028815564365,286953124.00000006,199710245.66666663,23.21410641299929,23.88525774286854,57921549.1202932,2791336.3972806428,344.8291306796877,10.3
21.300000000000004,19.000000000000004,21.700000000000003,57168.0686714389,40258.39269342449,286953124.00000006,199710245.6666667,23.23493300779949,23.886708558078087,21363590.9241216,848190.5512310066,345.0287972355613,10.3
