Температура окружающей среды,Влажность окружающей среды,Температура раствора,Значение АЦП внешнего фотодиода,Значение АЦП внутреннего фотодиода,Интегральная сумма внешнего фотодиода,Интегральная сумма внутреннего фотодиода,Температура лазера,Температура фотодиода,Фурье образ внутреннего фотодиода,Фурье образ внешнего фотодиода,Время с начала эксперимента,Концентрация глюкозы
26.9,19.0,26.8,19691.0,59479.0,187243443.0,294224956.0,25.884337396061365,24.72265145339616,8.660268824304685e+16,3.5062030262619804e+16,0.0,8.26
26.9,19.000000000000004,26.8,38267.45291842815,58546.65618007025,187243443.0,294224956.00000006,26.001836412281477,24.808643755225507,33535154.74813753,1913069986.8571143,0.1996665558735174,8.259999999999998
26.899999999999995,19.000000000000004,26.8,38098.82900273683,58345.479814575134,187243443.0,294224956.0,26.10562800167005,24.87241287173891,23052057.134506244,1178644663.9367385,0.3993331117470349,8.259999999999998
26.9,19.000000000000004,26.8,37933.55848383538,58354.4659899558,187243443.00000003,294224956.00000006,26.19688535382751,24.917405997237328,41354804.20047041,1259737415.8362017,0.5989996676205525,8.26
26.90000000000001,19.000000000000007,26.800000000000004,37909.12293697741,58361.876121254165,187243443.0000001,294224956.0000001,26.276727941560768,24.94675228919732,7360007.894622653,1079078653.3113644,0.7986662234940701,8.26
26.90000000000001,19.000000000000004,26.8,37913.52846628418,58396.26001869918,187243443.00000003,294224956.00000006,26.346222135044528,24.96327649573592,22564284.531624865,825578453.5769438,0.9983327793675876,8.26
26.9,19.000000000000004,26.800000000000004,37819.99551515748,58423.86685249951,187243443.0,294224956.00000006,26.406381815982467,24.969512583075367,11885896.039442254,581659494.9063982,1.197999335241105,8.26
26.9,19.000000000000004,26.8,37812.46482277074,58453.586086827694,187243443.00000003,294224956.00000006,26.45816899176839,24.967717363007928,9753936.053417793,365234065.8514014,1.3976658911146227,8.26
26.9,19.0,26.8,37779.1178707829,58488.99803860023,187243443.00000003,294224956.00000006,26.50249440964748,24.959884120360584,4141226.209234822,294349993.4728397,1.59733244698814,8.26
26.9,19.0,26.8,37746.70452692623,58535.92357631336,187243443.00000003,294224956.00000006,26.54021817087745,24.94775624045995,3070519.5751694464,225536996.08348304,1.7969990028616574,8.259999999999998
26.9,19.0,26.8,37748.56982468141,58537.21068285638,187243443.0,294224956.0,26.572150344889785,24.932840836596966,2464437.399583485,203213350.48600623,1.9966655587351747,8.26
26.9,19.000000000000004,26.800000000000004,37706.91245961504,58572.55921253787,187243443.00000003,294224956.0,26.599051583450883,24.916422377491724,2810854.521105834,224825351.48916656,2.196332114608693,8.260000000000002
26.90000000000001,19.000000000000004,26.800000000000004,37675.76114420035,58593.14667691361,187243443.00000003,294224956.00000006,26.62163373482333,24.89957631475824,4047778.9134860206,247339765.2696597,2.3959986704822103,8.26
26.9,19.000000000000004,26.8,37657.6071706676,58615.58898561987,187243443.00000003,294224956.00000006,26.640560457927023,24.88318271036922,2827879.1430260893,274587466.0911932,2.595665226355728,8.259999999999998
26.9,19.0,26.8,37639.1012261243,58651.30616919129,187243443.0,294224956.00000006,26.656447836500416,24.867939864120917,7445283.689364662,332858742.6660588,2.795331782229245,8.26
26.9,19.000000000000004,26.8,37588.27465279094,58662.87678773796,187243443.00000003,294224956.00000006,26.669864993261683,24.854377941097777,6740175.217937397,235859873.32823503,2.994998338102762,8.26
26.9,19.000000000000004,26.8,37578.72453840009,58677.894878766165,187243443.0,294224956.00000006,26.68133470406996,24.84287259913738,4420048.12998752,230239987.2790007,3.19466489397628,8.26
26.9,19.000000000000004,26.8,37572.41809687176,58695.52447926676,187243443.0,294224956.00000006,26.69133401208649,24.833658616295114,3259619.7447161325,202389080.7395832,3.394331449849797,8.259999999999998
26.9,19.000000000000004,26.8,37568.07941497765,58721.41291807493,187243443.0,294224956.0,26.700294841935865,24.82684351830902,2568884.816069872,158120860.65040874,3.593998005723315,8.26
26.9,19.000000000000007,26.8,37536.95849592728,58723.32980860103,187243443.00000003,294224956.00000006,26.708604613867205,24.82242120606454,2017499.457423953,128522508.3545426,3.793664561596832,8.26
26.9,19.000000000000004,26.8,37518.55337644559,58748.17834537855,187243443.00000003,294224956.0000001,26.71660685791534,24.82028558305932,1362862.039860412,121294034.98483168,3.993331117470351,8.26
26.9,19.000000000000004,26.8,37504.82198912999,58748.02632921602,187243443.00000003,294224956.00000006,26.724601828062053,24.820244182867995,1445888.3648594976,126547481.57656965,4.192997673343869,8.26
26.90000000000001,19.000000000000004,26.8,37468.47475367998,58792.79516022561,187243443.00000003,294224956.0000001,26.732847116397217,24.822031796606964,3593711.866139924,152327481.18486267,4.3926642292173845,8.26
26.90000000000001,19.000000000000004,26.8,37445.16976307063,58814.6207560951,187243443.00000003,294224956.00000006,26.74155826728006,24.82532410039918,4312766.160714297,169563534.89358062,4.592330785090902,8.26
26.9,19.000000000000004,26.8,37414.72676198669,58838.68882068596,187243443.00000003,294224956.00000006,26.750909391500286,24.82975128283893,4319964.159931455,207391970.8104952,4.79199734096442,8.26
